run,model,cv_f1_mean,cv_f1_std,threshold,f1,precision,recall,accuracy,roc_auc,pr_auc,brier,ece,f1_at_0.5,fit_seconds
distilbert,distilbert,0.7865079988799514,0.020800731370442176,0.560858964920044,0.7799811142587346,0.812992125984252,0.7495462794918331,0.827790096082779,0.888518268756421,0.8780021081624871,0.13139102877873748,0.07556932497320798,0.7796296296296297,180.79
minilm_lr,minilm_lr,0.7441910512560737,0.019847118163802545,0.42523738741874695,0.7415329768270945,0.7285464098073555,0.7549909255898367,0.7856614929785661,0.8548750627967288,0.824469708998443,0.14744676916333083,0.04297547950151226,0.7272727272727273,13.4
tfidf_nb,tfidf_nb,0.7341901112020823,0.019337561781607036,0.23609115275117348,0.7392086330935251,0.732620320855615,0.7459165154264973,0.7856614929785661,0.8449271557947238,0.8275800615461426,0.1640455078333232,0.12917825263528376,0.7107107107107107,0.37
tfidf_svm,tfidf_svm,0.7383243283450075,0.017543319047748973,0.3895608328281249,0.7350877192982456,0.7113752122241087,0.7604355716878403,0.7767923133776792,0.8514670673588262,0.8333500835719118,0.14403706568657418,0.05276681838523549,0.7460629921259843,0.57
tfidf_lr_nokeyword,tfidf_lr,0.736786288534843,0.018082752762317918,0.5193296383779481,0.7344521224086871,0.8051948051948052,0.6751361161524501,0.8011825572801182,0.8538092156179424,0.8394475662557614,0.1435688575546389,0.040000799723843634,0.7431906614785992,0.84
tfidf_lr,tfidf_lr,0.7371217739463549,0.01839126489807378,0.3405535018246556,0.7336170212765958,0.6907051282051282,0.7822141560798548,0.7686622320768662,0.8524763409081653,0.8355599038675262,0.14380970151440356,0.04105568756123325,0.7446393762183235,0.45
